tweet_id,tweet_text
1823706135863452039,"France has launched a cyberbullying investigation following a complaint by Algerian Olympic boxing champion Imane Khelif, prosecutors told CBS News on Wednesday, after the athlete endured backlash over misconceptions about her gender. https://t.co/tWJXzs4DXx"
1823780873281658996,"@LissomeCynosure mind swimming with all the possibilities that lead to this moment, panic forming in her chest. clearing her throat, she turned her head back to the girls, gaining their attention wordlessly.       'You're dismissed, ladies, I know it's early, but you may use this time for--"
1823931270566445461,"The unbeatable spirit of the Kenyan spirit in sport! #KenyaToTheWorld   Team Kenya, that was an incredible show of excellence!  Faith Kipyegon is an amazing and incredible human being!  Pushing all the limits and giving her all for our national pride.  She's a three-time individual back-to-back gold medallist in 1500m; that's no mean feat."
1824127860199600213,"@MikeFriday09 @EaglesOverseas @TeamUSA @Olympics Yes, he is definitely a quality rugby player. The argument is quality 15s rugby players (who are young, fit, &amp; fresh and suited to 7s) can transition a lot simpler than some suggesting. Like when you selected Mathew Tait (pre-chronically injured) in 2006. https://t.co/oDk8agXnzX"
1824166145991344317,Sindh Chief Minister @MuradAliShahPPP awarded Olympic gold medalist @ArshadOlympian1 a prize of 50 million rupees for his remarkable performance...  #Olympics #Pakistan #ArshadNadeem  #OlympicGamesParis2024 https://t.co/S9ceaFQoa9
1824551682149077384,"@RealSFDynasty Isak and BrunoG still here, magician Tonali back, Gordon taking another step and Barnes healthy, plus potentially Guehi and a RW coming in. Also no European football to worry about is a major advantage as well"
1824663555343344115,"@FanDuel People saying 'Noah trying to stay relevant' bro he's the fastest man on earth for the next 4 years. Ur comparing a global gold medal Olympian to an NFL WR. I love hill, im a dolphins fan. but if anyone is clinging to relevance it's Hill"
1824668240477348324,"Let's put this 'Trump dissed the Medal of Honor' nonsense to bed right now.  He said it's better to be old and healthy than it is to be (i) dead or (ii) old and crippled.  Does ANYBODY disagree with that obviously true statement?  Conceptually, that's ALL he said.  Anybody who claims otherwise is a lying fascist midwit, and if you encounter any such creature please feel free to verbally eviscerate them yourself or send them my way for a deluxe verbal evisceration."
1824751565904761255,“It is really disgusting. I just can’t wait until we flush him down the toilet of history and never talk about Donald Trump again.”   -Former GOP Congressman @AdamKinzinger on Trump’s comments disparaging the Medal of Honor. @RpsAgainstTrump   https://t.co/RBexGYeSpD
1825190853700194484,"@frankocean1fann It’s pretty simple; in strict basketball terms, her being in as many basketball related conversations as she is makes no sense. If it’s about the post-play basketball, put that time into A’Ja, Jonquel, Stewie, etc"
1825202385083412902,"The 2024 Summer Olympics, officially titled the Games of the XXXIII Olympiad and branded as Paris 2024, was an international multi-sport event held in France from July 26 to August 11, 2024. Paris, the host city, kicked off the Games with an opening ceremony on July 26. The event https://t.co/NhjdUzxnZg"
1825267914775146898,"just now processing the olympics…  full support for transgenders, but like why not have separate classes: - trans men - trans women  &amp; let them compete against each other?"
1825333377114759397,"@TennisUpdates24 how long would u like rallies to be, exactly? the issue with tennis now is net play has gone mostly extinct and coaches no longer seem to value variety as a winning option, its just power baseliners, all the way, with very few exceptions"
1825683995184574650,"@SnoopDogg @Simone_Biles @NBCOlympics If there's a reason we need Donald in jail, it's bc there's no way we'll be able to tolerate 4 years of him pissing and heaving for not being picked by NBC to bring the pizaz. There's no way he'll be able to tolerate it either."
1826105233409183942,"@XxDA7amxX @Shane00 Winning Bronze was not in the Final game. I thought Jordan fans cared about Finals game, remember 6-0??  In the FINAL olympic game, LeBron is 3-0 and Jordan only has 2. Stop bringing up Bronze unless we gonna bring up first round losses for MJ in the NBA"
1826427737227301167,Whether World Champion Flag Football QB Darrell Doucette is better than Patrick Mahomes at Flag Football DOESN’T MATTER. The truth is the 2028 Olympics are the best opportunity for the NFL to GROW THE GAME OF FOOTBALL GLOBALLY and they will want NFL Players on that Olympic team. https://t.co/KxdNbYEXaC
1826473319459180544,"Minnesota Gov. Tim Walz formally accepted the vice-presidential nomination on Wednesday, in a night that was designed to introduce him to the country as a teacher and a football coach, a father and a husband, a former congressman and current governor who now could be the nation’s No. 2.  “We’re all here tonight for one beautiful, simple reason,” he said. “We love this country.”  Read more from his speech: https://t.co/ZW8GxIePgG"
1826475503563215114,"""@clarkkent415 @ApexJones22 One day, I pray that you Curry fans understand what the word """"consistency"""" means  Maybe on that day y'all will finally understand why he didn't deserve the '18 FMVP and the Olympics MVP  As for 2015⬇️"""
1826493577586954533,"@AsmilaJ @ThinkPrague @kerchbridgegone @jurgen_nauditt Oh, right, because when your neighbor fills their yard with armed guards and points them at your house, it's totally not a provocation—just friendly security, right? The mental gymnastics you're pulling here could win gold at the Olympics."
1826588207007269365,@tomo_medved @HrvatskaHvz @mup_rh @MORH_OSRH @RavnateljstvoCZ Čestitam još jednom 🇭🇷 olimpijcima na sudjelovanju u @paris2024 i osvajačima 7⃣ medalja. Ukupno 1⃣0⃣0⃣  sportašica i sportaša predstavlja Hrvatsku na @Olympics i @Paralympics. Našim paraolimpijcima želimo puno uspjeha u natjecanjima koja ih uskoro očekuju u Parizu. #sjednicaVRH
1826887355434783141,"@AntikBasu80384 @AmitK98infinite @IndiaSportsHub Y should shut up first, 1 olympic medal yet in tennis ,how many medal other state won in olympic yet from 1947b give me the numbers in indivuall category first can you ??  If not any player from bengal has capability to play for India than how can it reach ranji final last yr"
